ID,NOMBRE,HORAS TRABAJADAS,SUELDO
1 Delphine 136 272
2 Marlane 151 302
3 Sayre 191 382
4 Valli 171 342
5 Laurena 212 424
6 Hamil 128 256
7 Ettie 164 328
8 Andreas 132 264
9 Dita 80 160
10 Euell 99 198
11 Karina 185 370
12 Carey 209 418
13 Haze 88 176
14 Averil 99 198
15 Giuditta 121 242
16 Hans 240 480
17 Raffaello 84 168
18 Franky 133 266
19 Leicester 167 334
20 Samantha 226 452
21 Elora 144 288
22 Binny 84 168
23 Trudy 198 396
24 Shae 104 208
25 Bordy 96 192
26 Mechelle 120 240
27 Lucita 210 420
28 Michele 88 176
29 Aubry 157 314
30 Ginnifer 105 210
31 Pace 132 264
32 Coral 81 162
33 Cozmo 167 334
34 Archibaldo 123 246
35 Eddy 136 272
37 Hilario 195 390
38 Helge 176 352
39 Gardener 222 444
40 Gustavus 142 284
41 Anderea 80 160
42 Demetria 108 216
43 Corabella 200 400
44 Agathe 207 414
45 Egor 83 166
46 Murvyn 194 388
47 Morten 95 190
48 Marlena 233 466
49 Franzen 83 166
51 Law 209 418
52 Stevie 238 476
53 Taylor 239 478
54 Olin 138 276
55 Blondy 195 390
56 Judas 120 240
57 Aggy 116 232
58 Brendin 176 352
59 Joceline 142 284
60 Cymbre 221 442
61 Barbabra 229 458
62 Rowan 110 220
63 Hedda 198 396
64 Nev 226 452
65 Sam 233 466
66 Morganne 194 388
67 Deidre 95 190
68 Laureen 143 286
69 Crissy 195 390
70 Wilone 102 204
71 Milzie 92 184
72 Dorisa 100 200
73 Judie 152 304
74 Lucas 182 364
75 Kellen 206 412
76 Ferdinande 175 350
77 Kilian 174 348
78 Bret 161 322
79 Luca 164 328
80 Cathe 146 292
81 Zebedee 97 194
82 Ediva 132 264
83 Spence 144 288
84 Jo ann 131 262
85 Benetta 111 222
86 Papageno 96 192
87 Belvia 127 254
88 Lynnett 140 280
89 Launce 99 198
90 Dougie 214 428
91 Jamaal 144 288
92 Alverta 155 310
93 Marcelia 187 374
94 Grace 131 262
95 Kathi 189 378
96 Raoul 197 394
97 Bria 165 330
98 Currey 202 404
99 Daphene 142 284
100 Will 130 260
101 Nicko 94 188
102 Bruce 83 166
103 Brit 210 420
104 Hyacinthe 106 212
105 Andras 140 280
106 Samara 221 442
107 Germaine 86 172
108 Demott 196 392
109 Odo 228 456
110 Chrotoem 116 232
111 Hadleigh 110 220
112 Adoree 193 386
113 Whittaker 232 464
114 Leodora 113 226
115 Louisette 95 190
116 Merna 99 198
117 Sydel 187 374
118 Jennine 229 458
119 Tabbie 185 370
120 June 202 404
121 Pembroke 106 212
122 Suzette 135 270
123 Joete 192 384
124 Adriena 200 400
125 Lana 178 356
126 Lyn 105 210
127 Dulce 144 288
128 North 220 440
129 Bette 147 294
130 Emmi 226 452
131 Meier 152 304
132 Joelly 195 390
133 Marv 106 212
134 Jasen 210 420
135 Merilee 206 412
136 Ollie 122 244
137 Sherwood 189 378
138 Gilligan 123 246
139 Bibbie 217 434
140 Mag 150 300
141 Lettie 167 334
142 Yelena 107 214
143 Dorie 166 332
144 Wyndham 135 270
145 Gwenette 142 284
146 Benita 132 264
147 Patience 100 200
148 Caryl 224 448
149 Edlin 162 324
150 Blake 162 324
151 Durant 91 182
152 Janene 216 432
153 Krissy 171 342
154 Monica 235 470
155 Janessa 194 388
156 Herb 81 162
157 Fred 112 224
158 Odille 175 350
159 Annissa 133 266
160 Electra 202 404
161 Brigit 166 332
162 Martyn 174 348
163 Bari 230 460
164 Ralph 88 176
165 Katheryn 223 446
166 Norma 107 214
167 Sayer 168 336
168 Alix 105 210
169 Laurie 86 172
170 Isa 165 330
171 Humbert 239 478
172 Emmy 80 160
173 Redford 127 254
174 Sabina 166 332
175 Lemar 123 246
176 Ranice 104 208
177 Robyn 103 206
178 Rosalinda 114 228
179 Gordon 109 218
180 Shanda 154 308
181 Alvan 169 338
182 Rae 99 198
183 Elfrida 239 478
184 Vinny 118 236
185 Meredith 184 368
186 Eadmund 186 372
187 Cazzie 222 444
188 Colman 105 210
189 Jojo 98 196
190 Ives 200 400
191 Brett 142 284
